Nombre De La Finca,Dpto,Municipio,Corregimiento,Vereda/Sector,Area (Has),Altura M.S.N.M.,T (°C),Pp (Mm/Año),Tipo Suelo,Pendiente,Nivel Tecnlogico,Tenencia del predio,Agua Propia, Acueducto,Energ Electrica,Gas Natural,E Internet,Analisis De Suelos,Cultivo,Variedad,Area Cultivada (Has),Produccion (Kg),% Al Mercado,Forma Venta,Sitio Venta,Forma Pago,Participacion En Produccion,Especie,Raza,Numero,Produccion,Participacion Produccion,Tipo Organización,Nombre De La Organización,Longitud (W),Latitud (N)
PEDREGAL,VALLE DEL CAUCA,PALMIRA,AYACUCHO,EL MESÓN / OSOS,6,1580,18,1000,no,PENDIENTE,BAJO,PROPIETARIO,SI,NO,SI,NO,NO,SI,BANANO,COMÚN,1,98,50,DIRECTA,GALERIA,EFECTI,100%,no,no,no,no,no,ASOCIACIÓN,ASOAGROCAM,"-76,189444","3,493611"
LAN GRANJA,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,0,1.416,22,1000,no,ONDULADO,MEDIO,no,no,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,AVICOLA,LOHAM BRAWN,100,100 HUEVOS DIA,no,ASOCIACIÓN,ASOCCHO,"-76,20433","3,49491"
LA PIRAMIDE,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO / LA PIRÁMIDE,1,1321,22,1000,FRAR,PENDIENTE,BAJO,PROPIETARIA,NO,SI,SI,NO,NO,NO,BANANO,COMÚN,"0,2",40,20,DIRECTA,GALERIA,EFECTI,100%,no,no,no,no,no,ASOCIACIÓN,ASOAGROCAM,"-76,204167","3,493056"
VILLA INDIA,VALLE DEL CAUCA,PALMIRA,AYACUCHO,MEZON,1,1608,18,1000,FRAR,3 A 7%,MEDIO,APARCERO,SI,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,BOVINA,DOBLE PROPOSITO,3,6 LITROS DIA,NO,no,no,"-76,186941","3,497725"
LA GRANJITA 1,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,035",1340,22,1000,FRAR,0 A 3%,MEDIO,PROPIETARIO,NO,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,AVICOLA,LOHMAN BRAWN,30,20 HUEVOS DIA,NO,no,no,"-76,204165","3,49493"
LA ESTRELLA,VALLE DEL CAUCA,PALMIRA,AYACUCHO,EL MESÓN / LA CAPILLA,3,1711,18,1000,FRAR,0 A 3%,BAJO,PROPIETARIO,NO,SI,SI,NO,NO,NO,BANANO,COMÚN,"0,3",50 ACTUAL,100,DIRECTA,FINCA,EFECTI,100%,no,no,no,no,no,NO,NO,"-76,194167","3,481389"
TIENDA EL CUADRADERO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,0,1.412,22,1000,FRAR,0 A 3%,BAJO,PROPIETARIA,NO,SI,SI,NO,NO,NO,BANANO  MARACUYA,COMUN.,"0,05",35-6,0,no,no,no,no,no,no,no,no,no,NO,no,"-76,204119","3,494878"
LOS ANGELES,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,0,1.276,22,1000,FRAR,0 A 2%,BAJO,PROPIETARIO,NO,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,AVICOLA,KOOC,25,CARNE,no,NO,NO,"-76,20431","3,49493"
VILLA MARÍA,VALLE DEL CAUCA,PALMIRA,AYACUCHO,ARENILLO,2,1684,18,1000,FRAR,0 A 3%,BAJO,PROPIETARIA,NO,SI,SI,NO,NO,NO,AROMATICAS,no,"0,27",210,100,DIRECTA,GALERIA,EFECTI,100%,no,no,no,no,no,ASOCIACIÓN,ASONCAR,"-76,186389","3,484722"
VILLA INES,VALLE DEL CAUCA,PALMIRA,AYACUCHO,EL MESÓN / OSOS,2,1584,18,1000,FRAR,3 A 6%,BAJO,PROPIETARIA,SI,NO,SI,NO,NO,NO,BANANO,COMÚN,"0,2",320,100,DIRECTA,FINCA,EFECTI,100%,no,no,no,no,no,ASOCIACIÓN,ASOAGROCAM,"-76,193611","3,493611"
LA HUERTA,VALLE DEL CAUCA,PALMIRA,AYACUCHO,ARENILLO,0,1690,18,1000,FRAR,3 A 6%,BAJO,PROPIETARIA,SI,SI,SI,NO,NO,NO,AROMATICAS,no,"0,2",900,100,DIRECTA,GALERIA,EFECTI,100%,no,no,no,no,no,ASOCIACIÓN,ASOAGROCAM,"-76,185278","3,483889"
LA MANGUITA,VALLE DEL CAUCA,PALMIRA,AYACUCHO,ARENILLO,0,1642,18,1000,FRAR,PENDIENTE,BAJO,PROPIETARIA,NO,SI,SI,NO,NO,NO,AROMATICAS,MANZANILLARUDA,"0,18",500,100,DIRECTA,GALERIA,EFECTI,100%,AVE DE POSTURA,ISA,12,3000 HUEVOS,100%,no,no,"-76,185865","3,483269"
LAS VERANERAS,VALLE DEL CAUCA,PALMIRA,AYACUCHO,EL MESÓN / LÍBANO,0,1578,18,1000,FRAR,SEMIPLANO,BAJO,PROPIETARIO,NO,SI,SI,NO,NO,NO,PLATANO,DOMINICO,"0,2",1800,100,DIRECTA,FINCA,EFECTI,100%,no,no,no,no,no,no,no,"-76,193056","3,503611"
LA AURORA,VALLE DEL CAUCA,PALMIRA,AYACUCHO,EL MESÓN / LÍBANO,1,1533,18,1000,FRAR,ONDULADO,BAJO,PROPIETARIO,NO,SI,SI,NO,NO,NO,BANANO,COMÚN,"0,27",920,100,DIRECTA,GALERIA,EFECTI,100%,no,no,no,no,no,no,no,"-76,193056","3,501111"
EL VERGEL,VALLE DEL CAUCA,PALMIRA,AYACUCHO,EL MESÓN / LÍBANO,1,1580,18,1000,FRAR,PENDIENTE,BAJO,PROPIETARIO,NO,SI,SI,NO,NO,NO,BANANO,COMÚN,"0,25",330,100,DIRECTA,FINCA,EFECTI,100%,no,no,no,no,no,no,no,"-76,193333","3,502222"
B/ ORTIZ,VALLE DEL CAUCA,PALMIRA,no,CHONTADURO,0,1.411,24,1000,FRAR,PENDIENTE,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,BANANO,COMUN,"0,2",20,0,no,no,no,no,no,no,no,no,no,no,no,"-76,20543","3,49704"
B/ORTIZ,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,0,1.408,24,1000,FRAR,SEMIPLANO,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,AVICOLA,GALLINAS,14,14 HUEVOS,no,no,no,"-76,20561","3,49684"
LA ANDRADA 1,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,1,1.511,22,1000,FRAR,ONDULADO,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,AVICOLA,GALLINAS,16,16 HUEVOS DIAS,no,no,no,"-76,20148","3,506487"
LA ANDRADA 2,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,1,1.516,22,1000,FRAR,PENDIENTE,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,BANANO,COMUN,"0,8",20,0,no,no,no,no,no,no,no,no,no,no,no,"-76,20158","3,50781"
LA ANDRADA 3,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,1,1.522,22,1000,FRAR,3 A 7%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,CIMARRON-POLEO,COMUN,"0,1",40,80,DIRECTA,GALERIA,EFECTIVO,no,no,no,no,no,no,no,no,"-76,20161","3,50199"
LA ANDRADA 4,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,12",1541,22,1000,FRAR,ONDULADO,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,CIMARRON -POLEO,COMUN,"0,2",45,80,DIRECTA,GALERIA,EFECTIVO,no,no,no,no,no,no,no,no,"-76,20563","3,49679"
LA ANDRADA5,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,8",1557,22,1000,FRAR,ONDULDA,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,BANANO-CIMARRON,COMUN,"0,2",40,80,DIRECTA,GALERIA,EFECTIVO,no,no,no,no,no,no,no,no,"-76,20561","3,49678"
LA ANDRADA 6,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,15",1421,22,1000,FRAR,0 A 3%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,BANANO,COMUN,"0,1",30,0,no,no,no,no,no,no,no,no,no,no,no,"-76,2009","3,506113"
LA ANDRADA 7,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,1",1549,22,1000,FRAR,PENDIENTE,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,BANANO,COMUN,"0,1",30,0,no,no,no,no,no,no,no,no,no,no,no,"-76,20142","3,50648"
EL LIVANO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,MESON,"0,1",1611,20,1000,FRAR,SEMIPLANO,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,BANANO-MAIZ,COMUN,"0,3",50,80,DIRECTA,GALERIA,EFECTIVO,no,no,no,no,no,no,no,no,"-76,19316","3,50112"
EL LIVANO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,MESON,2,1616,20,1000,FRAR,ONDULADO,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,YUCA -BANANO,COMUN,"0,4",60,80,DIRECTA,GALERIA,EFECTIVO,no,no,no,no,no,no,no,no,"-76,19314","3,502154"
EL LIVANO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,MESON,1,1621,20,1000,FRAR,PENDIENTE,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,0,no,no,no,no,AVICOLA,GALLINAS,25,HUEVO Y CARNE,no,no,no,"-76,19307","3,50215"
EL LIVANO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,MESON,3,1632,20,1000,FRAR,3 A 7%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,BANANO-CITRICOS,COMUN,"0,9",70,0,no,no,no,no,no,no,no,no,no,no,no,"-76,193021","3,50297"
ARENILLO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,ARENILLO,1,1684,18°,1000,FRAR,ONDULADO,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,FRIJOL -BANANO,COMUN-NIMA,"0,4",40,0,no,no,no,no,no,no,no,no,no,no,no,"-76,18572","3,48283"
ARENILLO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,ARENILLO,"0,8",1680,18°,1000,FRAR,ONDULDA,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,AVICOLA,GALLINAS,20,HUEVO Y CARNE,no,no,no,"-76,18992","3,48541"
CHONTADURO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,5",1411,22,1000,FRAR,0 A 3%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,AVICOLA,GALLINAS,21,HUEVOS,no,no,no,"-76,20433","3,494939"
CHONTADURO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,5",1440,22,1000,FRAR,PENDIENTE,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,PEPINO-CILANTRO,COMUN,"0,2",10,0,no,no,no,no,no,no,no,no,no,no,no,"-76,20421","3,494941"
LIVANO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,MESON,2,1632,22,1000,FRAR,ONDULADO,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,0,no,no,no,no,AVICOLA,GALLINAS,28,HUEVOS,no,no,no,"-76,19547","3,50365"
ARENILLO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,ARENILLO,1,1670,22,1000,FRAR,PENDIENTE,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,FRIJOL-MAIZ,NIMA,"0,5",40,80,DIRECTA,GALERIA,EFECTIVO,no,no,no,no,no,no,no,no,"-76,18451","3,49152"
ARENILLO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,ARENILLO,"0,4",1687,22,1000,FRAR,3 A 7%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,ARRACACHA-YUCA,no,"0,3",20,50,DIRECTA,GALERIA,EFECTIVO,no,no,no,no,no,no,no,no,"-76,18539","3,49198"
ARENILLO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,ARENILLO,"0,2",1701,19,1000,FRAR,ONDULADO,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,AROMATICAS,no,"0,05",10,0,no,no,no,no,no,no,no,no,no,no,no,"-76,18752","3,49159"
ARENILLO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,ARENILLO,"0,1",1741,19,1000,FRAR,ONDULDA,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,MORA,no,"0,1",6,0,no,no,no,no,no,no,no,no,no,no,no,"-76,18265","3,49163"
ARENILLO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,ARENILLO,"0,2",1746,19,1000,FRAR,0 A 3%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,0,no,no,no,no,PORCICOLA,CERDOS,11,CARNE,no,no,no,"-76,18652","3,49165"
CHONTADURO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,1",1342,23,1000,FRAR,PLANO,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,CILANTRO-TOMATE,COMUN,"0,05",10,0,no,no,no,no,no,no,no,no,no,no,no,"-76,20154","3,49312"
MESON,VALLE DEL CAUCA,PALMIRA,AYACUCHO,MESON,"0,3",1621,22,1000,FRAR,SEMIPLANO,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,YUCA -CIMARRON,no,"0,02",40,0,no,no,no,no,no,no,no,no,no,no,no,"-76,19347","3,49125"
LIVANO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,MESON,"0,05",1632,22,1000,FRAR,ONDULADO,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,0,no,no,no,no,AVICOLA,GALLINAS,21,HUEVO Y CARNE,no,no,no,"-76,201131","3,49608"
LA ANDRADA 8,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,2",1641,22,1000,FRAR,PENDIENTE,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,BANANO,COMUN,"0,3",50,80,DIRECTA,GALERIA,EFECTIVO,no,no,no,no,no,no,no,no,"-76,20151","3,49685"
LA ANDRADA 9,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,02",1647,22,1000,FRAR,3 A 7%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,0,no,no,no,no,GANADERIA,VACAS,6,DOBLE PROPOSITP,no,no,no,"-76,20452","3,49698"
LA ANDRADA 10,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,02",1651,22,1000,FRAR,ONDULADO,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,YUCA- BANANO,COMUN,"0,1",40,80,DIRECTA,GALERIA,EFECTIVO,no,no,no,no,no,no,no,no,"-76,20441","3,49654"
LA ANDRADA 11,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,3",1659,22,1000,FRAR,ONDULDA,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,YUCA -BANANO,COMUN,"0,0,1",30,80,DIRECTA,GALERIA,EFECTIVO,no,no,no,no,no,no,no,no,"-76,20478","3,49663"
B/ORTIZ,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,02",1411,22,1000,FRAR,0 A 3%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,0,no,no,no,no,AVICOLA,GALLINAS,18,HUEVOS,no,no,no,"-76,20545","3,49763"
CHONTADURO,VALLE DEL CAUCA,PALMIRA,AYACUCHO,CHONTADURO,"0,1",1412,19,1000,FRAR,0 A 3%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,CITRICOS,MANDARINA,"0,02",14,0,no,no,no,no,no,no,no,no,no,no,no,"-76,2044","3,49485"
CHONTADURO,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,1",1411,19,1000,FRAR,0 A 3%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,FRUTALES,MANGO-CITRICOS-BANAO,"0,01",60,0,no,no,no,no,no,no,no,no,no,no,no,"-76,204761","3,49476"
CHONTADURO,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,1",1413,19,1000,FRAR,0 A 3%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,AVICOLA,GALLINAS,9,8HUEVOS,no,no,no,"-76,204789","3,494761"
CHONTADURO,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,3",1422,19,1000,FRAR,0 A 3%,BAJO,PROPIA,NO,SI,SI,NO,NO,NO,FRUTALES,MANGO-CITRICOS,"0,3",20,0,no,no,no,no,no,no,no,no,no,no,no,"-76,206604","3,492875"
CHONTADURO,VALLE,PALMIRA,AYACUCHO,CHONTADURO,"0,3",1512,18°,1000,FRAR,0 A 3%,BAJO,ADMINISTRA,NO,SI,SI,NO,NO,NO,no,no,no,no,no,no,no,no,no,BOVINA,CRUZADA,1,6 BOT-LECHE,no,no,no,"-76,202451","3,494951"
La Trinidad,Valle,Palmira,Bolo La Italia,La Playa,"4,5",935,24,1.200,Frl,Plano,Medio,Propio,si,si,si,si,si,no,Plátano,D. Artón,"1,2",7.400,100,Directa,Finca,Contado,50%,no,no,no,no,no,no,no,"-76,319447","3,462192"
Los Angeles,Valle,Palmira,Bolo La Italia,La Palma,"0,7",970,24,1.200,Frl,Plano,Bajo,Propio,no,si,si,si,no,no,Plátano,D. Artón,"0,64",1.320,95,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,327961","3,467663"
El Platanal,Valle,Palmira,Bolo San Isidro,Via Principal,"3,2",968,24,1.200,Frl,Plano,Medio,Admon.,si,si,si,no,no,no,Plátano,D. Artón,"1,2",10.700,100,Directa,Finca,Contado,0%,no,no,no,no,no,no,no,"-76,334173","3,45999"
La María,Valle,Palmira,Bolo Alizal,La Virgen,"0,7",960,24,1.200,Fra,Plano,Medio,Propio,si,si,si,no,no,no,Plátano,D. Artón,"0,64",6.500,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,355725","3,456775"
La María 2,Valle,Palmira,Bolo Alizal,La Virgen,"0,7",959,24,1.200,Fral,Plano,Medio,Propio,si,si,si,no,no,no,Plátano,D. Artón,"0,64",1.100,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,356752","3,461043"
El Oasis,Valle,Palmira,Bolo Alizal,El Descanso,"0,64",955,24,1.200,Fral,Plano,Bajo,Propio,si,si,si,no,no,no,Plátano,D. Artón,"0,64",0,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,364638","3,466673"
Puerta Verde,Valle,Palmira,Bolo Alizal,El Descanso,3,955,24,1.200,Fral,Plano,Medio,Admon.,si,si,si,no,no,no,Plátano,D. Artón,"1,2",2.500,100,Directa,Finca,Contado,0%,no,no,no,no,no,no,no,"-76,365972","3,466801"
El Lago,Valle,Palmira,Bolo Alizal,San Pablo,2,948,24,1.200,Frl,Plano,Medio,Propio,si,no,no,no,no,no,Plátano,D. Artón,2,0,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,380193","3,452377"
El Piñuelo,Valle,Palmira,Bolo Alizal,La Virgen,"0,8",965,24,1.200,Frl,Plano,Bajo,Propio,no,no,no,no,no,no,Plátano,D. Artón,"0,8",1.200,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,364125","3,451632"
Las dos Palmas,Valle,Palmira,Bolo La Italia,La Palma,"0,64",962,24,1.200,Frl,Plano,Medio,Propio,si,si,si,si,no,no,Plátano,D. Artón,"0,64",1.600,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,318712","3,469555"
La Veranera,Valle,Palmira,Rozo,La Marina,"0,5",973,25,1.200,Frl,Plano,Medio,Propio,si,si,si,si,no,no,Plátano,D. Artón,"0,5",4.750,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,383755","3,591751"
Villa Lucila,Valle,Palmira,Rozo,La Marina,1,974,25,1.200,Frl,Plano,Medio,Propio,si,si,si,si,no,no,Plátano,D. Artón,"0,8",5.350,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,380608","3,603172"
El Encanto,Valle,Palmira,Rozo,La Marina,"1,5",972,25,1.200,Frl,Plano,Medio,Propio,si,si,si,no,no,no,Plátano,D. Artón,1,7.000,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,379828","3,597538"
Villa Cecilia,Valle,Palmira,Rozo,La Reforma,1,959,25,1.200,Frl,Plano,Medio,Admon.,si,si,si,si,no,no,Plátano,D. Artón,"0,8",7.450,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,377293","3,600515"
La Sombra,Valle,Palmira,Rozo,La Reforma,"1,28",961,25,1.200,Frl,Plano,Medio,Propio,si,si,si,no,no,no,Plátano,D. Artón,"0,8",9.000,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,378502","3,600551"
Refugio de paz,Valle,Palmira,Rozo,La Reforma,1,965,25,1.200,Frl,Plano,Medio,Propio,si,si,si,si,no,no,Plátano,D. Artón,1,8.550,100,Directa,Finca,Contado,100%,no,no,no,no,no,Asociación,Agroplátano,"-76,377572","3,598308"
El Paraiso,Valle,Palmira,Rozo,La Reforma,1,964,25,1.200,Frl,Plano,Medio,Propio,si,si,si,si,no,no,Plátano,D. Artón,"0,64",6.450,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,377963","3,600515"
Los Mangos,Valle,Palmira,Rozo,La Virginia,1,958,25,1.200,Frl,Plano,Medio,Propio,si,si,si,si,si,si,Plátano,D. Artón,"0,8",12.750,100,Directa,Finca,Contado,100%,no,no,no,no,no,Asociación,Agroplátano,"-76,382102","3,613068"
El Esfuerzo,Valle,Palmira,Rozo,La Virginia,"0,9",958,25,1.200,Frl,Plano,Medio,Propio,si,si,si,si,si,no,Plátano,D. Artón,"0,6",4.250,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,383327","3,613574"
Lote 4,Valle,Palmira,Rozo,La Virginia,3,957,25,1.200,Frl,Plano,Medio,Propio,si,si,si,si,no,no,Plátano,D. Artón,2,25.800,100,Directa,Finca,Contado,100%,no,no,no,no,no,Asociación,Agroplátano,"-76,381633","3,615615"
El Delfin,Valle,Palmira,Rozo,La Marina,"0,64",957,25,1.200,Frl,Plano,Medio,Propio,si,si,si,si,no,no,Plátano,D. Artón,"0,6",7.400,100,Directa,Finca,Contado,100%,no,no,no,no,no,Asociación,Agroplátano,"-76,380605","3,602562"
La Unión 1,Valle,Palmira,Rozo,La Virginia,1,964,25,1.200,Frl,Plano,Medio,Propio,si,no,si,no,no,no,Plátano,D. Artón,1,1.200,100,Directa,Finca,Contado,100%,no,no,no,no,no,Asociación,Agroplátano,"-76,379803","3,616455"
Las Palmas,Valle,Palmira,Bolo Alizal,La Virgen,1,964,25,1.200,Frl,Plano,Medio,Propio,no,si,si,no,no,no,Plátano,D. Artón,"0,5",2.180,100,Directa,Finca,Contado,100%,no,no,no,no,no,Asociación,Agrobolos,"-76,329467","3,468953"
El Higueron,Valle,Palmira,Rozo,La Trocha,"0,8",956,25,1.200,Frl,Plano,Medio,Propio,no,si,si,si,no,no,Plátano,D. Artón,"0,7",0,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,38718","3,628132"
La Unión,Valle,Palmira,Rozo,La Trocha,"0,8",959,25,1.200,Frl,Plano,Bajo,Propio,si,si,si,si,no,no,Plátano,D. Artón,"0,64",3.200,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,389707","3,625803"
El Limonar,Valle,Palmira,Rozo,La Primavera,"0,64",956,25,1.200,Frl,Plano,Medio,Propio,si,si,si,si,no,no,Plátano,D. Artón,"0,64",6.320,100,Directa,Finca,Contado,100%,no,no,no,no,no,Asociación,Agroplátano,"-76,392048","3,612142"
El Bohio,Valle,Palmira,Bolo San Isidro,Cra 5 No. 2b-77,"0,9",984,24,1.200,Frl,Plano,Bajo,Propio,no,si,si,si,no,no,Plátano,D. Artón,"0,6",0,no,no,no,no,no,no,no,no,no,no,no,no,"-76,335633","3,462897"
La Providencia,Valle,Palmira,Rozo,La Torre,"3,8",949,25,1.200,Frl,Plano,Medio,Propio,si,si,si,si,no,no,Plátano,D. Artón,"3,5",21.300,100,Directa,Finca,Contado,100%,no,no,no,no,no,Asociación ,Agroplátano,"-76,410632","3,626658"
La Rosita,Valle,Palmira,Rozo,Av 5 No. 14-250,"1,2",959,25,1.200,Frl,Plano,Bajo,Propio,no,si,si,si,no,no,Plátano,D. Artón,"1,3",7.400,100,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,37854","3,598652"
El Boga 1,Valle,Palmira,Rozo,La Unión,1,960,25,1.200,Frl,Plano,Medio,Propio,si,si,si,no,no,no,Plátano,D. Artón,1,6.350,100,Directa,Finca,Contado,100%,no,no,no,no,no,Asociación,Agroplátano,"-76,395418","3,623185"
El Boga 1,Valle,Palmira,Rozo,La Unión,8,960,25,1.200,Frl,Plano,Medio,Propio,si,si,si,no,no,si,Plátano,D. Artón,8,38.500,100,Directa,Finca,Contado,100%,no,no,no,no,no,Asociación,Agroplátano,"-76,397255","3,6224"
El Recreo,Valle,Palmira,Rozo,El Recreo,"0,64",950,25,1.200,Frl,Plano,Bajo,Propio,si,no,no,no,no,no,Plátano,D. Artón,"0,6",2.180,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,395212","3,60948"
La Fortuna,Valle,Palmira,Rozo,La Reforma,"1,6",949,25,1.200,Frl,Plano,Bajo,Propio,si,si,si,si,no,no,Plátano,D. Artón,"1,4",6.450,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,378889","3,5966"
Sin nombre,Valle,Palmira,Rozo,La Reforma,"0,64",951,25,1.200,Frl,Plano,Bajo,Admon.,si,no,no,no,no,no,Plátano,D. Artón,"0,5",2.150,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,378718","3,599538"
El Recreo,Valle,Palmira,Rozo,El Recreo,"0,5",946,25,1.200,Frl,Plano,Bajo,Propio,si,si,si,si,no,no,Plátano,D. Artón,"0,5",3.200,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,391115","3,612827"
El Rincón,Valle,Palmira,Rozo,El Recreo,"1,3",947,25,1.200,Frl,Plano,Medio,Propio,si,si,si,si,no,no,Plátano,D. Artón,"1,2",9.550,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,391539","3,612753"
Los Vergara,Valle,Palmira,Rozo,La Torre,6,956,25,1.200,Frl,Plano,Medio,Propio,si,no,no,no,no,no,Plátano,Hartón,"3,5",25.400,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,413415","3,623985"
La Musa,Valle,Palmira,Rozo,Olaya Herrera,"0,5",960,25,1.200,Frl,Plano,Medio,Propio,si,si,si,si,si,no,Plátano,D. Artón,"0,5",2.550,100%,Directa,Finca,Contado,100%,no,no,no,no,no,Asociación ,Agroplátano,"-76,383917","3,611945"
La Victoria,Valle,Palmira,Rozo,La Marina,"0,64",962,25,1.200,Frl,Plano,Medio,Admon.,si,si,si,si,si,no,Plátano,D. Artón,"0,6",5.300,100%,Directa,Finca,Contado,100%,no,no,no,no,no,no,no,"-76,381234","3,595552"
